step, dolphins, humans
0, 42, 24
1, 42, 24
2, 42, 24
3, 42, 24
4, 42, 24
5, 42, 24
6, 42, 24
7, 42, 24
8, 42, 24
9, 42, 24
10, 42, 24
11, 42, 24
12, 42, 24
13, 42, 24
14, 42, 24
15, 42, 24
16, 42, 24
17, 42, 24
18, 42, 24
19, 42, 24
20, 42, 24
21, 42, 24
22, 42, 24
23, 42, 24
24, 42, 24
25, 42, 24
26, 42, 24
27, 42, 24
28, 42, 24
29, 42, 24
30, 42, 24
31, 42, 24
32, 42, 24
33, 42, 24
34, 42, 24
35, 42, 24
36, 42, 24
37, 42, 24
38, 42, 24
39, 42, 24
40, 42, 24
41, 42, 24
42, 42, 24
43, 42, 24
44, 42, 24
45, 42, 24
46, 42, 24
47, 42, 24
48, 42, 24
49, 42, 24
50, 42, 24
51, 42, 24
52, 42, 24
53, 42, 24
54, 42, 24
55, 42, 24
56, 42, 24
57, 42, 24
58, 42, 24
59, 42, 24
60, 42, 24
61, 42, 24
62, 42, 24
63, 42, 24
64, 42, 24
65, 42, 24
66, 42, 24
67, 42, 24
68, 42, 24
69, 42, 24
70, 42, 24
71, 42, 24
72, 42, 24
73, 42, 24
74, 42, 24
75, 42, 24
76, 42, 24
77, 42, 24
78, 42, 24
79, 42, 24
80, 42, 24
81, 42, 24
82, 42, 24
83, 42, 24
84, 42, 24
85, 42, 24
86, 42, 24
87, 42, 24
88, 42, 24
89, 42, 24
90, 42, 24
91, 42, 24
92, 42, 24
93, 42, 24
94, 42, 24
95, 42, 24
96, 42, 24
97, 42, 24
98, 42, 24
99, 42, 24
